,dim1
TSHZ2,0.004062627139494428
MT1A,-0.00016222937929725336
KCNA6,0.001647468084716666
SDHAF3,0.00013329462236378922
SNTG1,0.006957192811001614
CRY2,0.004717974675439382
SMYD1,-0.0007746671578491831
IMMP1L,0.006145293389708082
LYPD5,-0.008321661200339713
KIF13B,0.017790085889334672
TUBGCP5,0.0006824463016289016
HTR3C,-0.004136249883916333
RNF19B,-0.0018745450550576679
OOSP3,-0.011434977933655577
ZNF214,-0.0087914075770739
PRB2,-0.001494415087168191
IGKV1-17,-0.0012094359978463592
KIFC1,-0.004955877241516994
PABPC1L,-0.0012289349653206527
GBX1,-0.007768698632032371
MCF2L2,0.006819129343028918
AKR1C1,0.003786448137243993
DKK2,-0.0009954313756818298
PABPN1L,-0.010673999597417024
ZNF507,-0.0033460527629477644
TRAK2,0.006718033123825601
ATP23,-0.0029011308380186285
DCAKD,0.0017510017231135624
CYP2C19,-0.002572834142752545
LHX5,-0.0001527667171855467
FAF2,0.0049506677293977295
BACH2,0.0005556435445183279
GNG5,0.005729006358463373
OR10J1,-0.001673020137542634
SIRPA,0.0011219062699760285
GOLGA6L10,-0.011748755475931275
TTC9B,-0.002931443724411562
ARHGEF10,0.001077726190954938
FBXL12,-0.0045186497134361465
KRT20,0.00011261973660856978
CAMSAP2,0.009551853863430906
CFAP206,-0.003007664474419264
XPC,-0.0033597681663472072
C6orf89,-0.0015368284449346348
GSTM4,0.001750387224584338
NBPF1,-0.005487278971606199
TTC29,-0.002209471092322268
ZNF688,-0.00920999788053597
MTRES1,-0.0051624295667831365
